"proj_id","risk_spectrum","spec_code","proj_retail_type"
"M0190_2560","","","R"
"M0190_2561","RS4","","R"
"M0190_2564","","","H"
"M0190_2565","","","B"
"M0191_2545","","SPF","R"
"M0191_2558","","FIF,SPF","R"
"M0191_2560","","","R"
"M0191_2561","RS4","","R"
"M0192_2555","","FIF,SPF","R"
"M0192_2558","","FIF,SPF","H"
"M0192_2559","","FED,RMF","R"
"M0193_2553","","FIF","R"
"M0193_2555","","FIF,SPF","R"
"M0193_2558","","CPF,SPF","R"
"M0194_2542","","",""
"M0194_2559","","SPF","H"
"M0194_2562","RS4","","R"
"M0194_2566","","","B"
"M0196_2557","","SPF","R"
"M0196_2561","RS4","","R"
"M0197_2557","","FIF,SPF","R"
"M0198_2557","","FIF,SPF","H"
"M0198_2561","RS4","","R"
"M0199_2551","","FIF,SPF","R"
"M0200_2551","","FIF,SPF","R"
"M0200_2554","","SPF","R"
"M0200_2555","","FIF,SPF","R"
"M0201_2549","","",""
"M0201_2551","","FIF,SPF","R"
"M0201_2565","","","B"
"M0202_2549","","","R"
"M0202_2550","","",""
"M0202_2551","","FIF,SPF","R"
"M0202_2553","","FIF","R"
"M0202_2563","","","H"
"M0203_2549","","","R"
"M0203_2551","","FIF,SPF","R"
"M0203_2553","","SPF","R"
"M0204_2549","","FF","R"
"M0204_2551","","FIF,SPF","R"
"M0205_2549","","",""
"M0205_2559","","SPF","H"
"M0205_2560","","","R"
"M0205_2562","RS4","","R"
"M0206_2553","","SPF","R"
"M0206_2560","","","R"
"M0206_2564","","","H"
"M0207_2548","","",""
"M0207_2552","","FIF,SPF","R"
"M0207_2554","","SPF","R"
"M0208_2548","","",""
"M0208_2550","","","R"
"M0208_2556","","FED","R"
"M0209_2548","","IND","R"
"M0209_2550","","","R"
"M0209_2558","","CPF,SPF","R"
"M0210_2550","","","R"
"M0210_2558","","FIF,SPF","H"
"M0211_2550","","","R"
"M0211_2556","","SPF","R"
"M0211_2558","","FIF,SPF","H"
"M0212_2550","","LTF","R"
"M0212_2556","","FIF,SPF","R"
"M0212_2566","","FED","X"
"M0213_2550","","",""
"M0213_2554","","SPF","R"
"M0213_2556","","CPF","R"
"M0213_2562","RS4","","R"
"M0213_2563","","","H"
"M0214_2550","","",""
"M0214_2556","","SPF","R"
"M0214_2563","","","R"
"M0215_2550","","",""
"M0215_2553","","FIF","R"
"M0215_2562","RS4","","R"
"M0215_2565","","","B"
"M0216_2550","","","R"
"M0216_2553","","","R"
"M0216_2557","","SPF","R"
"M0216_2559","","SPF","H"
"M0216_2561","RS4","","R"
"M0216_2562","RS4","","R"
"M0217_2549","","","R"
"M0217_2553","","FIF","R"
"M0217_2557","","FIF,SPF","R"
"M0217_2558","","FED,SSF","R"
"M0217_2559","","SPF","H"
"M0217_2560","","","R"
"M0217_2561","RS4","","R"
"M0218_2549","","","R"
"M0218_2553","","FIF","R"
"M0218_2557","","FIF,SPF","H"
"M0218_2560","","","R"
"M0219_2549","","","R"
"M0219_2553","","FIF","R"
"M0219_2555","","FIF,SPF","R"
"M0219_2557","","FIF,SPF","H"
"M0220_2549","","","R"
"M0220_2553","","FIF","R"
"M0220_2555","","CPF","R"
"M0221_2562","","","R"
"M0221_2563","","","H"
"M0222_2562","","","R"
"M0223_2549","","",""
"M0223_2554","","SPF","R"
"M0224_2560","","","R"
"M0226_2560","","","R"
"M0227_2551","","FIF,SPF","R"
"M0227_2561","RS4","","R"
"M0227_2566","","","R"
"M0228_2561","RS4","","R"
"M0228_2566","","","R"
"M0229_2546","","",""
"M0229_2553","","FIF","R"
"M0229_2562","RS4","","R"
"M0229_2563","","","R"
"M0230_2553","","FIF","R"
"M0230_2557","","SPF","R"
"M0230_2558","","","R"
"M0230_2562","","","R"
"M0230_2563","","","H"
"M0231_2553","","FIF","R"
"M0231_2557","","FIF,SPF","H"
"M0231_2558","","FIF,SPF","H"
"M0231_2562","","","R"
"M0232_2557","","FIF,SPF","R"
"M0232_2559","","SPF","H"
"M0233_2557","","FIF,SPF","H"
"M0233_2558","","FIF,SPF","R"
"M0233_2559","","SPF","H"
"M0233_2565","","","B"
"M0234_2557","","FIF,SPF","H"
"M0234_2558","","FIF,SPF","H"
"M0234_2560","","","R"
"M0235_2553","","","R"
"M0235_2555","","FIF,SPF","R"
"M0235_2556","","SPF","R"
"M0235_2558","","FIF,SPF","H"
"M0235_2560","","","R"
"M0235_2561","RS4","","R"
"M0236_2553","","FIF","R"
"M0236_2555","","FIF,SPF","R"
"M0236_2556","","CPF","R"
"M0236_2558","","FIF,SPF","H"
"M0236_2561","RS4","","R"
"M0237_2552","","FED","R"
"M0237_2555","","CPF","R"
"M0237_2556","","SPF","R"
"M0238_2551","","FIF,SPF","R"
"M0238_2555","","SPF","R"
"M0238_2556","","FIF,SPF","R"
"M0238_2561","","","A"
"M0238_2563","","","R"
"M0239_2551","","FIF,SPF","R"
"M0239_2563","","","H"
"M0240_2551","","FIF,SPF","R"
"M0240_2554","","SPF","R"
"M0240_2566","","","R"
"M0243_2554","","SPF","R"
"M0244_2553","","FIF","R"
"M0244_2555","","SPF","R"
"M0246_2552","","FIF,SPF","R"
"M0246_2560","","","R"
"M0247_2560","","","R"
"M0248_2552","","FIF,SPF","R"
"M0248_2564","","","H"
"M0249_2552","","FIF,SPF","R"
"M0249_2555","","CPF","R"
"M0250_2552","","FIF,SPF","R"
"M0250_2555","","FIF,SPF","R"
"M0250_2558","","SE","R"
"M0250_2559","","SPF","H"
"M0250_2566","","","R"
"M0251_2554","","SPF","R"
"M0251_2555","","FIF,SPF","R"
"M0251_2556","","SPF","R"
"M0251_2558","","FIF,SPF","R"
"M0251_2559","","SPF","H"
"M0251_2561","RS4","","R"
"M0252_2553","","","R"
"M0252_2554","","SPF","R"
"M0252_2556","","SPF","R"
"M0252_2558","","FIF,SPF","H"
"M0252_2561","RS4","","R"
"M0252_2563","","","R"
"M0252_2564","","","R"
"M0253_2549","","","R"
"M0253_2553","","FIF","R"
"M0253_2558","","FED,IND","R"
"M0253_2564","","","R"
"M0254_2549","","","R"
"M0254_2550","","LTF","R"
"M0254_2562","RS4","","R"
"M0255_2549","","","R"
"M0255_2556","","CPF","R"
"M0255_2562","","","R"
"M0255_2563","","FED","R"
"M0256_2556","","FIF,SPF","R"
"M0256_2560","","","R"
"M0256_2562","","","R"
"M0256_2564","","FED","R"
"M0257_2557","","FIF,SPF","H"
"M0257_2560","","","R"
"M0257_2563","","","R"
"M0257_2564","","FED","R"
"M0258_2552","","FIF,SPF","R"
"M0258_2557","","FIF,SPF","R"
"M0259_2552","","FIF,SPF","R"
"M0260_2559","","SPF","H"
"M0260_2560","","","H"
"M0261_2550","","",""
"M0261_2559","","SPF","H"
"M0261_2563","","","R"
"M0262_2550","","LTF","R"
"M0262_2559","","SPF","R"
"M0262_2561","RS4","","R"
"M0262_2563","","","R"
"M0263_2551","RS4","","N"
"M0263_2559","","SPF","H"
"M0263_2561","RS4","","R"
